,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,Duration_ms,Stream
267,0.723,0.49,-14.745,0.0296,0.111,0.0946,0.795,129.012,252773.0,302893047.0
268,0.622,0.54,-13.99,0.0261,0.017,0.00771,0.847,130.879,264907.0,213673856.0
269,0.654,0.336,-12.825,0.0379,0.858,0.385,0.947,176.083,134400.0,189357854.0
270,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.754,100.804,230400.0,877774503.0
271,0.749,0.491,-9.655,0.0403,0.02,0.00899,0.536,119.528,292613.0,519184335.0
272,0.749,0.748,-7.011,0.0323,0.295,0.000443,0.827,137.547,213267.0,375576936.0
273,0.719,0.922,-6.091,0.0338,0.523,0.000163,0.964,133.113,260893.0,135342126.0
274,0.454,0.788,-6.748,0.0371,0.574,0.000766,0.52,126.15,294720.0,295039369.0
275,0.684,0.675,-8.123,0.0257,0.163,0.0,0.924,107.064,243933.0,250065301.0
276,0.678,0.727,-7.844,0.0258,0.117,0.00396,0.71,133.481,274467.0,252601051.0
277,0.445,0.949,-4.682,0.0471,0.395,8.18e-06,0.653,147.604,168960.0,222521002.0
278,0.5,0.554,-8.108,0.0354,0.734,3.72e-06,0.372,84.229,326320.0,210743145.0
279,0.764,0.626,-8.274,0.0288,0.457,6.35e-06,0.961,118.34,252853.0,208513838.0
280,0.652,0.259,-13.336,0.0595,0.903,0.0,0.836,142.169,155453.0,471405587.0
281,0.262,0.137,-15.235,0.0344,0.913,6.74e-06,0.288,92.183,206600.0,126469786.0
282,0.512,0.339,-13.119,0.0498,0.727,0.0,0.951,174.609,120693.0,177473609.0
283,0.401,0.381,-7.458,0.0274,0.7,0.0,0.229,75.454,276800.0,329370178.0
284,0.257,0.338,-12.902,0.0357,0.736,0.0,0.544,207.356,162493.0,182673374.0
285,0.646,0.204,-11.957,0.0565,0.826,0.0,0.688,140.281,154640.0,88041370.0
286,0.668,0.26,-14.256,0.0523,0.453,0.0,0.368,119.416,147000.0,506872698.0
287,0.259,0.473,-8.275,0.0295,0.592,0.0,0.539,90.348,157867.0,143712745.0
288,0.56,0.434,-14.151,0.0729,0.55,0.0,0.664,112.803,187040.0,212972149.0
289,0.252,0.118,-17.62,0.0328,0.945,6.2e-05,0.14,87.575,146293.0,42053170.0
290,0.696,0.793,-5.733,0.097,0.0683,3.78e-06,0.698,120.003,172253.0,107996524.0
291,0.754,0.763,-4.627,0.0435,0.0301,2.23e-05,0.464,117.953,164819.0,547871739.0
